Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Double_Sleep_Hours,Hours_Studied_x_Sleep_Hours,Previous_Scores_x_Sample_Papers,Mean,Var
8,52,0,9,0,45.0,81,72,0,17.25,552.9166666666666
7,59,0,4,0,46.0,16,28,0,17.5,773.6666666666666
7,90,0,5,7,85.0,25,35,630,27.25,1750.9166666666665
6,44,1,7,7,33.0,49,42,308,16.0,348.66666666666663
6,94,1,7,3,83.0,49,42,282,27.5,1968.3333333333333
9,76,0,4,3,71.0,16,36,228,23.0,1255.3333333333333
6,59,1,7,9,49.0,49,42,531,20.25,668.9166666666666
2,63,1,7,1,39.0,49,14,63,18.25,896.9166666666666
2,75,0,9,1,51.0,81,18,75,21.75,1272.9166666666665
5,73,1,7,5,57.0,49,35,365,22.5,1134.3333333333333
4,97,0,7,7,81.0,49,28,679,28.75,2072.25
2,84,1,7,6,65.0,49,14,504,24.75,1564.9166666666665
3,87,0,6,6,66.0,36,18,522,25.5,1683.0
7,93,1,7,2,86.0,49,49,186,27.25,1926.9166666666665
8,73,0,4,1,66.0,16,32,73,21.5,1187.0
6,58,1,9,9,50.0,81,54,522,20.5,627.0
5,56,1,7,6,46.0,49,35,336,18.5,625.6666666666666
1,44,1,8,3,20.0,64,8,132,14.0,408.66666666666663
8,64,0,9,0,58.0,81,72,0,20.25,866.9166666666666
3,57,0,9,0,38.0,81,27,0,17.25,716.25
6,99,1,8,3,91.0,64,48,297,29.0,2182.0
3,94,1,4,4,77.0,16,12,376,26.25,2040.25
7,92,0,6,4,83.0,36,42,368,27.25,1864.9166666666665
7,89,1,4,0,79.0,16,28,0,25.0,1828.6666666666665
9,47,1,6,2,50.0,36,54,94,16.0,435.3333333333333
5,66,0,5,5,51.0,25,25,330,20.25,930.25
8,54,0,8,9,49.0,64,64,486,19.75,521.5833333333333
8,84,1,9,6,79.0,81,72,504,26.75,1458.25
1,52,0,9,0,26.0,81,9,0,15.5,608.3333333333333
5,55,1,9,7,42.0,81,45,385,19.0,578.6666666666666
3,61,1,8,3,42.0,64,24,183,18.75,798.9166666666666
1,59,0,8,8,35.0,64,8,472,19.0,722.0
4,52,1,6,5,31.0,36,24,260,16.75,552.9166666666666
8,59,0,9,0,50.0,81,72,0,19.0,727.3333333333333
3,41,0,4,1,18.0,16,12,41,12.25,368.91666666666663
2,74,1,6,2,50.0,36,12,148,21.0,1252.0
9,86,0,9,1,82.0,81,81,86,26.25,1600.9166666666665
5,94,1,8,9,78.0,64,40,846,29.0,1880.6666666666665
7,58,0,8,6,53.0,64,56,348,19.75,650.9166666666666
2,84,1,8,0,65.0,64,16,0,23.5,1638.3333333333333
9,76,0,9,8,76.0,81,81,608,25.5,1133.6666666666665
9,97,1,8,1,94.0,64,72,97,28.75,2082.9166666666665
4,93,1,5,3,79.0,25,20,279,26.25,1980.9166666666665
4,45,0,8,7,27.0,64,32,315,16.0,376.66666666666663
6,53,1,9,2,43.0,81,54,106,17.5,568.3333333333333
6,43,1,6,8,30.0,36,36,344,15.75,330.91666666666663
1,61,1,8,6,37.0,64,8,366,19.0,792.6666666666666
9,90,1,7,9,90.0,49,63,810,28.75,1668.25
2,94,1,5,2,68.0,25,10,188,25.75,2072.25
5,78,1,9,2,64.0,81,45,156,23.5,1328.3333333333333
9,75,0,8,4,73.0,64,72,300,24.0,1160.6666666666665
4,73,0,7,4,53.0,49,28,292,22.0,1158.0
3,66,0,9,9,46.0,81,27,594,21.75,878.25
7,46,0,6,4,37.0,36,42,184,15.75,408.25
6,42,1,5,8,29.0,25,30,336,15.25,319.5833333333333
8,86,1,8,8,80.0,64,64,688,27.5,1521.0
3,72,0,6,5,52.0,36,18,360,21.5,1135.0
5,41,1,9,6,29.0,81,45,246,15.25,297.5833333333333
4,81,0,7,9,70.0,49,28,729,25.25,1385.5833333333333
4,55,1,9,7,40.0,81,36,385,18.75,588.25
4,64,1,9,8,49.0,81,36,512,21.25,816.9166666666666
8,99,0,5,5,92.0,25,40,495,29.25,2164.25
6,54,1,8,7,46.0,64,48,378,18.75,552.9166666666666
3,63,0,6,1,42.0,36,18,63,18.25,894.25
5,54,0,5,9,41.0,25,25,486,18.25,571.5833333333333
6,70,0,7,7,60.0,49,42,490,22.5,1003.0
5,53,1,8,1,41.0,64,40,53,16.75,592.25
6,93,1,5,7,83.0,25,30,651,27.75,1892.9166666666665
8,53,0,7,1,43.0,49,56,53,17.25,577.5833333333333
7,45,1,7,2,36.0,49,49,90,15.25,398.91666666666663
5,53,0,6,6,38.0,36,30,318,17.5,560.3333333333333
6,56,0,9,8,47.0,81,54,448,19.75,585.5833333333333
4,57,1,7,2,40.0,49,28,114,17.5,697.6666666666666
9,59,0,7,4,59.0,49,63,236,19.75,688.9166666666666
4,90,1,9,8,76.0,81,36,720,27.75,1726.9166666666665
1,56,1,4,6,31.0,16,4,336,16.75,688.9166666666666
7,55,1,7,1,44.0,49,49,55,17.5,633.0
7,79,0,8,4,71.0,64,56,316,24.5,1323.0
4,78,0,5,4,59.0,25,20,312,22.75,1356.9166666666665
3,91,1,9,8,69.0,81,27,728,27.75,1784.9166666666665
8,71,1,9,1,63.0,81,72,71,22.25,1068.9166666666665
5,99,0,9,0,87.0,81,45,0,28.25,2238.25
7,83,1,8,3,77.0,64,56,249,25.25,1486.9166666666665
4,48,1,9,3,31.0,81,36,144,16.0,462.0
4,66,0,8,0,47.0,64,32,0,19.5,971.6666666666666
8,85,0,6,9,78.0,36,48,765,27.0,1496.6666666666665
8,91,0,4,6,86.0,16,32,546,27.25,1808.9166666666665
2,72,1,9,1,48.0,81,18,72,21.0,1168.6666666666665
2,49,0,4,8,24.0,16,8,392,15.75,497.5833333333333
3,56,0,9,6,39.0,81,27,336,18.5,631.0
3,88,0,8,6,71.0,64,24,528,26.25,1698.9166666666665
1,88,0,5,0,60.0,25,5,0,23.5,1853.6666666666665
3,75,0,4,8,54.0,16,12,600,22.5,1229.6666666666665
6,56,0,4,9,45.0,16,24,504,18.75,620.9166666666666
8,57,0,8,8,51.0,64,64,456,20.25,600.25
6,91,1,4,1,78.0,16,24,91,25.5,1911.0
5,62,0,6,9,48.0,36,30,558,20.5,768.3333333333333
4,73,1,8,8,59.0,64,32,584,23.25,1103.5833333333333
3,47,1,4,1,28.0,16,12,47,13.75,492.91666666666663
4,52,0,4,1,35.0,16,16,52,15.25,602.25
7,62,1,4,7,55.0,16,28,434,20.0,786.0
1,96,0,8,2,69.0,64,8,192,26.75,2140.9166666666665
7,93,1,5,2,87.0,25,35,186,26.75,1954.9166666666665
1,59,0,7,6,32.0,49,7,354,18.25,744.9166666666666
2,61,1,9,9,37.0,81,18,549,20.25,748.9166666666666
4,86,0,4,5,66.0,16,16,430,24.75,1667.5833333333333
1,91,0,7,6,66.0,49,7,546,26.25,1870.25
9,62,1,7,5,56.0,49,63,310,20.75,758.9166666666666
6,80,1,4,8,70.0,16,24,640,24.5,1371.6666666666665
1,74,0,4,1,48.0,16,4,74,20.0,1298.0
1,42,1,9,7,17.0,81,9,294,14.75,341.5833333333333
6,73,0,7,5,59.0,49,42,365,22.75,1122.9166666666665
4,72,1,5,3,56.0,25,20,216,21.0,1156.6666666666665
4,85,0,7,5,66.0,49,28,425,25.25,1588.25
6,56,1,5,5,41.0,25,30,280,18.0,642.0
7,84,0,6,9,76.0,36,42,756,26.5,1471.0
9,58,1,5,2,54.0,25,45,116,18.5,701.6666666666666
5,69,0,9,7,57.0,81,45,483,22.5,963.6666666666666
9,62,1,8,4,62.0,64,72,248,20.75,760.9166666666666
4,54,0,4,9,38.0,16,16,486,17.75,589.5833333333333
2,98,1,6,3,73.0,36,12,294,27.25,2227.583333333333
3,96,1,7,1,72.0,49,21,96,26.75,2137.583333333333
1,53,0,5,9,28.0,25,5,477,17.0,586.6666666666666
6,41,1,6,0,28.0,36,36,0,13.25,350.25
6,78,1,8,6,67.0,64,48,468,24.5,1273.0
1,88,0,5,9,62.0,25,5,792,25.75,1732.9166666666665
3,57,0,9,2,36.0,81,27,114,17.75,694.25
5,45,0,7,2,33.0,49,35,90,14.75,410.91666666666663
3,98,0,7,2,74.0,49,21,196,27.5,2213.6666666666665
3,71,1,5,9,52.0,25,15,639,22.0,1073.3333333333333
3,60,1,8,2,38.0,64,24,120,18.25,781.5833333333333
5,79,1,4,1,62.0,16,20,79,22.25,1434.25
5,67,0,4,5,50.0,16,20,335,20.25,971.5833333333333
4,66,1,7,9,48.0,49,28,594,21.5,884.3333333333333
1,41,1,8,2,15.0,64,8,82,13.0,358.0
5,72,0,7,0,51.0,49,35,0,21.0,1164.6666666666665
5,55,1,4,9,37.0,16,20,495,18.25,604.9166666666666
4,78,1,7,8,59.0,49,28,624,24.25,1286.9166666666665
6,61,0,5,5,46.0,25,30,305,19.25,774.9166666666666
4,95,1,9,5,78.0,81,36,475,28.25,1984.9166666666665
7,82,0,5,9,74.0,25,35,738,25.75,1408.9166666666665
7,86,0,9,8,78.0,81,63,688,27.5,1521.6666666666665
2,52,1,8,1,27.0,64,16,52,15.75,593.5833333333333
3,95,1,4,9,74.0,16,12,855,27.75,2016.9166666666665
1,41,1,8,8,15.0,64,8,328,14.5,323.0
8,53,0,8,2,46.0,64,64,106,17.75,560.25
9,95,0,4,2,90.0,16,36,190,27.5,2033.6666666666665
4,77,1,6,2,58.0,36,24,154,22.25,1334.9166666666665
6,80,1,6,0,65.0,36,36,0,23.0,1452.0
9,67,0,7,9,65.0,49,63,603,23.0,861.3333333333333
6,46,1,6,6,36.0,36,36,276,16.0,400.0
9,57,1,5,9,52.0,25,45,513,20.0,612.0
4,95,0,9,6,79.0,81,36,570,28.5,1969.6666666666665
8,80,1,8,1,74.0,64,64,80,24.25,1392.25
9,94,1,7,5,93.0,49,63,470,28.75,1894.9166666666665
4,75,1,8,3,57.0,64,32,225,22.5,1229.6666666666665
5,80,1,4,6,65.0,16,20,480,23.75,1406.9166666666665
8,75,0,6,6,69.0,36,48,450,23.75,1168.25
6,83,0,4,3,71.0,16,24,249,24.0,1548.6666666666665
7,43,0,7,2,31.0,49,49,86,14.75,360.25
3,96,0,9,6,78.0,81,27,576,28.5,2031.0
7,69,1,5,8,60.0,25,35,552,22.25,972.9166666666666
8,63,1,6,3,58.0,36,48,189,20.0,826.0
6,59,1,4,5,46.0,16,24,295,18.5,729.6666666666666
9,85,1,9,6,87.0,81,81,510,27.25,1484.25
6,95,0,6,9,81.0,36,36,855,29.0,1938.0
9,70,1,8,2,69.0,64,72,140,22.25,1022.9166666666666
4,63,1,5,4,46.0,25,20,252,19.0,860.6666666666666
8,46,0,9,0,41.0,81,72,0,15.75,422.91666666666663
4,65,0,6,5,50.0,36,24,325,20.0,900.6666666666666
2,52,0,5,4,24.0,25,10,208,15.75,585.5833333333333
9,93,1,9,6,97.0,81,81,558,29.25,1808.25
5,47,0,8,8,35.0,64,40,376,17.0,402.0
4,94,1,8,3,82.0,64,32,282,27.25,1984.9166666666665
2,44,1,4,8,24.0,16,8,352,14.5,393.0
1,83,0,7,5,59.0,49,7,415,24.0,1553.3333333333333
7,52,0,4,4,42.0,16,28,208,16.75,554.25
6,68,0,5,1,56.0,25,30,68,20.0,1028.6666666666665
2,59,1,4,0,30.0,16,8,0,16.25,814.9166666666666
8,53,1,9,7,49.0,81,72,371,19.25,506.91666666666663
4,71,1,6,5,56.0,36,24,355,21.5,1089.6666666666665
8,99,0,9,6,98.0,81,72,594,30.5,2087.0
7,89,1,4,5,79.0,16,28,445,26.25,1751.5833333333333
5,66,1,7,9,54.0,49,35,594,21.75,872.9166666666666
8,95,1,9,6,93.0,81,72,570,29.5,1908.3333333333333
9,64,1,9,8,63.0,81,81,512,22.5,765.6666666666666
5,91,0,9,4,76.0,81,45,364,27.25,1810.9166666666665
5,43,1,7,0,27.0,49,35,0,13.75,388.91666666666663
2,60,0,9,0,35.0,81,18,0,17.75,808.25
5,57,0,5,8,39.0,25,25,456,18.75,652.25
3,78,1,8,4,59.0,64,24,312,23.25,1336.9166666666665
7,54,1,7,1,50.0,49,49,54,17.25,608.25
5,92,0,5,2,77.0,25,25,184,26.0,1938.0
8,77,1,7,0,70.0,49,56,0,23.0,1308.6666666666665
1,87,0,7,5,62.0,49,7,435,25.0,1714.6666666666665
3,91,1,8,5,71.0,64,24,455,26.75,1838.9166666666665
3,63,1,6,2,39.0,36,18,126,18.5,883.0
9,47,0,5,2,41.0,25,45,94,15.75,442.25
5,67,1,7,6,51.0,49,35,402,21.25,930.9166666666666
9,60,0,7,0,52.0,49,63,0,19.0,762.0
9,55,0,4,4,49.0,16,36,220,18.0,614.0
1,99,1,9,2,76.0,81,9,198,27.75,2268.9166666666665
2,93,0,6,4,71.0,36,12,372,26.25,1982.9166666666665
5,55,1,8,3,42.0,64,40,165,17.75,620.9166666666666
4,74,1,5,5,60.0,25,20,370,22.0,1202.0
9,56,1,7,8,53.0,49,63,448,20.0,576.6666666666666
7,48,0,9,1,40.0,81,63,48,16.25,459.5833333333333
6,96,1,5,9,85.0,25,30,864,29.0,1998.0
7,74,1,8,7,70.0,64,56,518,24.0,1111.3333333333333
1,91,0,6,1,63.0,36,6,91,24.75,1956.25
1,68,0,4,3,42.0,16,4,204,19.0,1068.6666666666665
8,78,0,6,8,73.0,36,48,624,25.0,1249.3333333333333
2,57,0,4,3,35.0,16,8,171,16.5,729.6666666666666
9,51,1,5,6,48.0,25,45,306,17.75,494.25
7,58,1,6,4,49.0,36,42,232,18.75,686.25
6,87,1,6,1,75.0,36,36,87,25.0,1714.0
1,61,1,6,7,35.0,36,6,427,18.75,800.25
1,98,0,8,9,70.0,64,8,882,29.0,2128.6666666666665
2,95,0,5,9,71.0,25,10,855,27.75,2018.25
6,88,1,4,1,74.0,16,24,88,24.75,1782.25
6,91,0,6,2,77.0,36,36,182,26.25,1866.9166666666665
2,54,0,5,9,30.0,25,10,486,17.5,600.3333333333333
1,40,0,9,6,13.0,81,9,240,14.0,311.3333333333333
5,41,0,8,4,26.0,64,40,164,14.5,315.0
5,47,0,8,9,35.0,64,40,423,17.25,396.25
2,61,1,9,2,40.0,81,18,122,18.5,813.6666666666666
6,64,1,5,1,55.0,25,30,64,19.0,904.6666666666666
9,41,0,4,5,37.0,16,36,205,14.75,310.91666666666663
2,90,0,5,9,64.0,25,10,810,26.5,1800.3333333333333
2,48,1,5,0,23.0,25,10,0,13.75,525.5833333333333
3,48,1,7,7,27.0,49,21,336,16.25,451.5833333333333
7,52,0,8,4,42.0,64,56,208,17.75,524.25
6,45,0,4,4,34.0,16,24,180,14.75,407.5833333333333
8,69,0,7,1,63.0,49,56,69,21.25,1022.9166666666666
8,54,1,9,6,50.0,81,72,324,19.25,538.25
6,90,0,5,4,75.0,25,30,360,26.25,1806.9166666666665
3,92,0,9,7,74.0,81,27,644,27.75,1840.9166666666665
3,54,0,8,4,39.0,64,24,216,17.25,604.9166666666666
1,89,0,7,8,63.0,49,7,712,26.25,1759.5833333333333
7,46,0,7,4,36.0,49,49,184,16.0,402.0
5,97,0,4,2,84.0,16,20,194,27.0,2179.333333333333
4,50,0,5,1,30.0,25,20,50,15.0,547.3333333333333
4,79,0,4,4,60.0,16,16,316,22.75,1406.25
4,77,1,7,9,61.0,49,28,693,24.25,1240.9166666666665
6,79,1,7,9,70.0,49,42,711,25.25,1285.5833333333333
8,41,1,4,4,32.0,16,32,164,14.25,321.5833333333333
8,90,0,7,5,87.0,49,56,450,27.5,1737.6666666666665
5,87,1,6,1,72.0,36,30,87,24.75,1726.9166666666665
6,78,1,8,4,68.0,64,48,312,24.0,1298.6666666666665
4,49,1,5,0,29.0,25,20,0,14.5,533.6666666666666
9,83,1,8,2,78.0,64,72,166,25.5,1479.0
8,56,1,5,2,45.0,25,40,112,17.75,656.25
1,46,0,7,2,20.0,49,7,92,14.0,462.0
2,93,1,4,2,66.0,16,8,186,25.25,2040.9166666666665
9,79,0,4,7,77.0,16,36,553,24.75,1312.25
8,78,0,7,0,72.0,49,56,0,23.25,1344.9166666666665
3,43,1,5,5,26.0,25,15,215,14.0,374.66666666666663
8,74,0,7,5,67.0,49,56,370,23.5,1135.0
1,90,1,5,0,67.0,25,5,0,24.0,1940.6666666666665
4,86,0,7,0,68.0,49,28,0,24.25,1702.9166666666665
3,75,0,7,2,56.0,49,21,150,21.75,1264.9166666666665
6,70,1,7,7,61.0,49,42,490,22.5,1003.0
7,64,0,4,5,50.0,16,28,320,20.0,862.0
4,80,0,5,3,68.0,25,20,240,23.0,1444.6666666666665
7,52,0,9,4,47.0,81,63,208,18.0,518.0
9,57,0,7,9,56.0,49,63,513,20.5,593.0
2,60,0,8,2,40.0,64,16,120,18.0,792.0
3,87,0,8,5,68.0,64,24,435,25.75,1671.5833333333333
5,40,0,4,5,26.0,16,20,200,13.5,312.3333333333333
3,75,0,6,5,55.0,36,18,375,22.25,1238.25
8,89,1,9,8,84.0,81,72,712,28.5,1627.0
8,47,0,4,9,40.0,16,32,423,17.0,404.66666666666663
8,91,1,6,7,85.0,36,48,637,28.0,1764.6666666666665
9,87,1,4,5,85.0,16,36,435,26.25,1644.9166666666665
4,60,0,8,1,40.0,64,32,60,18.25,782.9166666666666
5,82,0,7,3,68.0,49,35,246,24.25,1484.9166666666665
5,91,1,5,5,74.0,25,25,455,26.5,1849.0
8,92,1,7,8,90.0,49,56,736,28.75,1778.25
7,92,1,8,1,82.0,64,56,92,27.0,1887.3333333333333
9,60,0,5,5,57.0,25,45,300,19.75,723.5833333333333
8,66,0,6,9,61.0,36,48,594,22.25,852.25
2,58,0,6,9,38.0,36,12,522,18.75,692.9166666666666
4,62,1,8,9,46.0,64,32,558,20.75,760.9166666666666
6,90,0,5,6,80.0,25,30,540,26.75,1778.25
2,89,0,7,7,67.0,49,14,623,26.25,1755.5833333333333
7,90,0,8,8,84.0,64,56,720,28.25,1694.9166666666665
3,82,0,6,4,58.0,36,18,328,23.75,1509.5833333333333
3,74,1,8,8,55.0,64,24,592,23.25,1150.25
2,79,0,7,8,57.0,49,14,632,24.0,1351.3333333333333
8,91,0,4,6,87.0,16,32,546,27.25,1808.9166666666665
6,90,1,9,1,80.0,81,54,90,26.5,1803.0
1,81,0,9,7,54.0,81,9,567,24.5,1430.3333333333333
1,87,1,9,4,64.0,81,9,348,25.25,1705.5833333333333
7,44,1,4,7,33.0,16,28,308,15.5,363.0
8,91,0,7,1,83.0,49,56,91,26.75,1844.25
5,80,1,5,6,66.0,25,25,480,24.0,1394.0
5,47,0,8,4,33.0,64,40,188,16.0,430.0
4,50,1,7,3,31.0,49,28,150,16.0,516.6666666666666
6,55,1,4,9,40.0,16,24,495,18.5,596.3333333333333
6,78,0,6,5,66.0,36,36,390,23.75,1308.25
3,86,1,9,4,67.0,81,27,344,25.5,1633.6666666666665
9,63,0,9,5,64.0,81,81,315,21.5,769.0
7,60,0,7,8,52.0,49,49,480,20.5,693.6666666666666
1,91,0,9,0,68.0,81,9,0,25.25,1937.5833333333333
7,62,0,9,0,58.0,81,63,0,19.5,817.6666666666666
5,88,1,7,5,72.0,49,35,440,26.25,1695.5833333333333
5,77,0,7,1,65.0,49,35,77,22.5,1326.3333333333333
2,86,1,4,7,65.0,16,8,602,24.75,1671.5833333333333
4,47,0,4,6,24.0,16,16,282,15.25,448.91666666666663
6,46,1,9,5,35.0,81,54,230,16.5,389.66666666666663
7,41,1,7,3,34.0,49,49,123,14.5,315.66666666666663
5,69,1,7,8,57.0,49,35,552,22.25,972.9166666666666
9,52,1,9,6,54.0,81,81,312,19.0,486.0
3,62,0,5,6,42.0,25,15,372,19.0,823.3333333333333
1,68,0,6,4,39.0,36,6,272,19.75,1038.9166666666665
4,77,1,8,0,62.0,64,32,0,22.25,1342.9166666666665
9,76,1,8,1,71.0,64,72,76,23.5,1237.6666666666665
4,59,0,9,7,42.0,81,36,413,19.75,688.9166666666666
2,72,1,8,4,52.0,64,16,288,21.5,1139.6666666666665
5,68,1,4,1,54.0,16,20,68,19.5,1048.3333333333333
3,89,0,4,4,68.0,16,12,356,25.0,1820.6666666666665
9,54,1,5,7,50.0,25,45,378,18.75,554.9166666666666
4,62,1,9,3,46.0,81,36,186,19.5,809.6666666666666
6,81,0,4,2,68.0,16,24,162,23.25,1484.9166666666665
2,42,1,9,4,19.0,81,18,168,14.25,350.91666666666663
6,76,0,9,6,68.0,81,54,456,24.25,1192.25
3,95,0,7,1,74.0,49,21,95,26.5,2091.6666666666665
9,68,0,6,0,63.0,36,54,0,20.75,1006.25
2,84,0,6,4,60.0,36,12,336,24.0,1602.6666666666665
9,47,1,9,6,47.0,81,81,282,17.75,382.25
5,61,0,6,7,47.0,36,30,427,19.75,756.9166666666666
8,92,0,6,7,87.0,36,48,644,28.25,1806.9166666666665
2,68,1,8,9,45.0,64,16,612,21.75,960.25
6,41,0,8,8,31.0,64,48,328,15.75,284.25
3,80,1,7,0,61.0,49,21,0,22.5,1477.6666666666665
5,88,0,5,6,73.0,25,25,528,26.0,1708.6666666666665
8,98,0,4,9,92.0,16,32,882,29.75,2074.9166666666665
1,89,0,4,7,65.0,16,4,623,25.25,1812.25
5,84,0,8,5,69.0,64,40,420,25.5,1523.0
3,40,1,9,9,20.0,81,27,360,15.25,280.25
4,83,1,6,3,66.0,36,24,249,24.0,1548.6666666666665
2,59,1,7,6,38.0,49,14,354,18.5,733.6666666666666
9,91,0,5,2,81.0,25,45,182,26.75,1842.9166666666665
3,60,0,8,1,39.0,64,24,60,18.0,792.6666666666666
2,76,0,9,5,53.0,81,18,380,23.0,1256.6666666666665
9,47,1,7,1,44.0,49,63,47,16.0,438.66666666666663
7,66,0,9,5,58.0,81,63,330,21.75,872.9166666666666
6,86,1,7,9,79.0,49,42,774,27.0,1548.6666666666665
1,98,1,8,2,75.0,64,8,196,27.25,2234.25
5,74,1,7,1,59.0,49,35,74,21.75,1219.5833333333333
3,45,0,6,7,23.0,36,18,315,15.25,396.25
1,99,0,7,3,74.0,49,7,297,27.5,2278.333333333333
4,84,0,5,3,65.0,25,20,252,24.0,1600.6666666666665
2,83,0,7,6,60.0,49,14,498,24.5,1525.6666666666665
2,58,1,4,7,32.0,16,8,406,17.75,724.25
3,57,1,7,8,38.0,49,21,456,18.75,654.9166666666666
8,95,0,9,9,91.0,81,72,855,30.25,1863.5833333333333
8,40,0,8,7,34.0,64,64,280,15.75,261.5833333333333
7,64,0,4,3,46.0,16,28,192,19.5,883.0
6,66,1,8,1,55.0,64,48,66,20.25,938.9166666666666
9,46,0,9,9,43.0,81,81,414,18.25,342.25
4,83,1,5,4,67.0,25,20,332,24.0,1547.3333333333333
1,81,1,6,6,56.0,36,6,486,23.5,1475.0
8,68,1,5,1,58.0,25,40,68,20.5,1011.0
7,70,1,4,3,60.0,16,28,210,21.0,1070.0
7,83,1,9,5,77.0,81,63,415,26.0,1446.6666666666665
3,82,1,9,7,69.0,81,27,574,25.25,1437.5833333333333
4,75,1,6,9,60.0,36,24,675,23.5,1183.0
9,58,0,7,5,52.0,49,63,290,19.75,652.9166666666666
6,45,0,4,5,36.0,16,24,225,15.0,400.66666666666663
5,64,0,6,5,49.0,36,30,320,20.0,860.6666666666666
3,70,1,8,3,50.0,64,24,210,21.0,1072.6666666666665
9,48,1,6,2,48.0,36,54,96,16.25,456.25
5,59,0,8,0,43.0,64,40,0,18.0,758.0
5,49,1,8,1,34.0,64,40,49,15.75,499.5833333333333
4,76,1,9,1,57.0,81,36,76,22.5,1283.0
4,66,1,6,9,50.0,36,24,594,21.25,894.25
1,52,1,9,6,28.0,81,9,312,17.0,555.3333333333333
7,80,1,9,5,72.0,81,63,400,25.25,1334.9166666666665
9,41,1,5,7,38.0,25,45,287,15.5,291.66666666666663
3,89,1,5,8,68.0,25,15,712,26.25,1754.25
2,60,1,9,4,41.0,81,18,240,18.75,764.9166666666666
3,72,1,9,2,53.0,81,27,144,21.5,1143.0
1,63,1,8,3,36.0,64,8,189,18.75,878.9166666666666
6,92,1,9,7,80.0,81,54,644,28.5,1793.6666666666665
7,83,1,4,2,73.0,16,28,166,24.0,1551.3333333333333
2,81,0,6,1,59.0,36,12,81,22.5,1525.6666666666665
8,73,1,4,6,67.0,16,32,438,22.75,1124.9166666666665
6,99,1,5,3,91.0,25,30,297,28.25,2226.25
4,48,0,4,7,34.0,16,16,336,15.75,464.25
5,41,0,7,0,23.0,49,35,0,13.25,350.91666666666663
8,94,0,7,7,86.0,49,56,658,29.0,1878.0
3,95,1,5,4,73.0,25,15,380,26.75,2070.9166666666665
3,69,1,4,1,49.0,16,12,69,19.25,1101.5833333333333
4,61,0,6,0,43.0,36,24,0,17.75,837.5833333333333
1,85,0,5,5,61.0,25,5,425,24.0,1657.3333333333333
9,50,0,7,8,45.0,49,63,400,18.5,441.66666666666663
8,94,1,5,8,85.0,25,40,752,28.75,1894.25
8,82,1,4,8,75.0,16,32,656,25.5,1422.3333333333333
6,56,0,4,3,44.0,16,24,168,17.25,668.9166666666666
7,75,1,4,5,66.0,16,28,375,22.75,1214.9166666666665
6,52,1,8,9,45.0,64,48,468,18.75,492.91666666666663
9,46,0,4,5,40.0,16,36,230,16.0,404.66666666666663
3,55,0,9,4,38.0,81,27,220,17.75,623.5833333333333
3,72,0,7,1,50.0,49,21,72,20.75,1173.5833333333333
3,84,1,7,6,67.0,49,21,504,25.0,1550.0
3,40,1,8,0,21.0,64,24,0,12.75,340.91666666666663
9,50,1,7,5,51.0,49,63,250,17.75,464.91666666666663
4,45,1,7,4,25.0,49,28,180,15.0,402.0
7,59,1,5,4,53.0,25,35,236,18.75,721.5833333333333
9,74,0,4,7,71.0,16,36,518,23.5,1137.6666666666665
7,83,1,9,8,77.0,81,63,664,26.75,1406.9166666666665
9,76,1,9,6,75.0,81,81,456,25.0,1158.0
3,80,0,5,9,60.0,25,15,720,24.25,1387.5833333333333
4,65,0,9,7,49.0,81,36,455,21.25,854.9166666666666
8,97,0,5,1,87.0,25,40,97,27.75,2139.583333333333
6,51,0,9,1,40.0,81,54,51,16.75,532.25
5,69,1,7,7,56.0,49,35,483,22.0,982.6666666666666
4,67,1,6,5,49.0,36,24,335,20.5,961.6666666666666
8,66,0,4,7,59.0,16,32,462,21.25,892.9166666666666
1,81,1,6,8,59.0,36,6,648,24.0,1452.6666666666665
9,58,0,7,8,54.0,49,63,464,20.5,625.6666666666666
1,44,1,8,5,17.0,64,8,220,14.5,395.0
8,97,1,5,7,90.0,25,40,679,29.25,2041.5833333333333
4,44,1,9,1,23.0,81,36,44,14.5,397.66666666666663
9,80,0,9,7,82.0,81,81,560,26.25,1284.9166666666665
5,66,0,7,2,49.0,49,35,132,20.0,944.6666666666666
3,67,1,9,0,50.0,81,27,0,19.75,1006.25
9,65,1,7,6,60.0,49,63,390,21.75,832.9166666666666
9,66,0,6,0,60.0,36,54,0,20.25,944.25
4,91,0,8,0,74.0,64,32,0,25.75,1902.9166666666665
4,88,1,5,0,71.0,25,20,0,24.25,1810.9166666666665
8,81,1,9,3,77.0,81,72,243,25.25,1388.25
2,60,0,8,3,34.0,64,16,180,18.25,781.5833333333333
9,40,1,8,9,39.0,64,72,360,16.5,245.66666666666666
6,93,0,8,5,85.0,64,48,465,28.0,1879.3333333333333
9,67,0,4,9,64.0,16,36,603,22.25,895.5833333333333
8,87,1,8,2,87.0,64,64,174,26.25,1648.25
7,97,1,7,9,91.0,49,49,873,30.0,1996.0
1,97,1,4,5,73.0,16,4,485,26.75,2196.25
3,54,0,4,6,34.0,16,12,324,16.75,618.25
2,94,0,8,0,70.0,64,16,0,26.0,2066.6666666666665
5,56,0,9,5,42.0,81,45,280,18.75,620.25
5,65,1,9,9,55.0,81,45,585,22.0,825.3333333333333
5,59,1,9,0,45.0,81,45,0,18.25,751.5833333333333
